bus_route,total_ridership,total_transfers
SIM4X,16524,4975
SIM5,117579,17316
SIM6,273726,17471
SIM7,120781,9796
SIM8,299847,38508
SIM8X,27175,4461
SIM9,61619,6980
X27,396893,38369
X28,410695,36157
X37,191025,10478
X38,173739,9578
X63,57279,7562
X64,23439,2924
X68,41862,3956
