bus_route,total_ridership,total_transfers
B1,10806488,2496119
B100,2839915,1122028
B103,6441452,1611012
B11,6195900,1266297
B12,5364692,1357340
B13,3666050,876640
B14,2397125,595670
B15,7838237,1747758
B16,3415994,669780
B17,4328547,1372961
B2,1134610,406721
B20,2940796,806473
B24,1351074,395707
B25,4113568,1134754
B26,4881901,1013230
B3,7333590,1939227
B31,1397697,553354
B32,542667,157392
B35,11759686,3216965
B36,6881124,1710247
B37,1288896,267664
B38,10197063,2313032
B39,100913,53912
B4,3761290,712582
B41,12775470,3326569
B42,889175,148575
B43,4857367,1047620
B44,7809164,2041616
B44+,6423088,1652451
B45,2441741,698538
B46,7938117,2093963
B46+,6417329,2067162
B47,4326659,986356
B48,1798980,453257
B49,6032514,1270099
B52,5776913,1247889
B54,4507094,1026922
B57,4469211,1168469
B6,16622290,4324356
B60,3144207,655958
B61,5352796,1674038
B62,4332625,1108664
B63,7187106,1517966
B64,3151851,657049
B65,1931996,428863
B67,2491124,678657
B68,8117390,1668092
B69,2268373,604294
B7,2351920,612861
B70,3940265,1027030
B74,1596454,626900
B8,9460852,2270846
B82,9120545,2284672
B82+,5608413,1626486
B83,3258416,904813
B84,158480,72086
B9,8215725,1692853
B90,510,207
B93,52,20
B94,557,200
B96,579,159
B98,6179,1854
B98V,585,166
B99,28538,6406
BM1,598347,56578
BM2,495170,59123
BM3,372692,42087
BM4,245295,28264
BM5,385068,51662
BX1,5592472,1334139
BX10,5255983,1402124
BX11,4525254,1075668
BX12,3760225,1001370
BX12+,12009039,3454517
BX13,4321656,1136236
BX15,5322980,1286868
BX16,2944917,847455
BX17,2779484,545954
BX18,292289,93193
BX18A,97793,35845
BX18B,118888,37630
BX19,9084026,2183310
BX2,6074097,1279481
BX20,262866,109557
BX21,4683582,1244134
BX22,4727705,1024633
BX23,1826781,658853
BX24,301954,115059
BX25,801723,228984
BX26,2173180,585067
BX27,2073477,549078
BX28,3420192,897537
BX29,821616,316381
BX3,5240792,1123507
BX30,2640409,652995
BX31,3466953,837145
BX32,1940372,367163
BX33,712478,214902
BX34,1414979,380872
BX35,4678707,1106983
BX36,8497349,1970044
BX38,2414034,685952
BX39,5324753,1292851
BX4,1863735,457643
BX40,3545594,959915
BX41,2407800,517562
BX41+,3504339,741501
BX42,3443175,943060
BX46,140602,56795
BX4A,1631871,432202
BX5,3424960,871579
BX6,3223299,935427
BX6+,3764293,1252724
BX7,7710741,1828049
BX8,2725547,637337
BX9,10066312,2433551
BX90,57,25
BX99,31347,7253
BXM1,895704,86329
BXM10,1162952,139757
BXM11,808891,101881
BXM18,95639,19114
BXM2,341926,51972
BXM3,369975,49047
BXM4,231371,39557
BXM6,420616,77954
BXM7,1842065,328594
BXM8,1256125,177098
BXM9,1256299,171275
D90,21,19
D99,118,94
J90,474,245
J99,52,45
L91,183,97
L92,12074,4520
M1,6509353,1330916
M10,3074103,710231
M100,5567231,1288219
M101,12710633,2932966
M102,7884491,1730449
M103,6644104,1515517
M104,5396128,1286009
M106,1163620,378843
M11,7686166,1385861
M116,3543254,980162
M12,679548,160725
M125,2383070,739383
M14A+,4220950,1203606
M14D+,8909422,2523328
M15,12299886,2320419
M15+,20223994,3782164
M2,5784675,1121538
M20,1139872,293240
M21,655764,150718
M22,1051813,216718
M23+,6847536,1974175
M3,8227032,1762520
M31,6831310,1587415
M34+,4230360,1092628
M34A+,4298516,993415
M35,106692,57469
M4,9830519,1910367
M42,6326672,1693792
M5,4766340,1097374
M50,1237064,367673
M55,1283685,362242
M57,4452932,1211405
M60+,6103750,1736533
M66,4998471,1518833
M7,6951313,1750299
M72,2794762,755188
M79+,7197209,2016656
M8,639286,163616
M86+,11082563,3475129
M9,3194900,516676
M90,5,3
M96,8316230,2780104
M98,697761,113529
M99,18485,4099
Q06,5269828,1544101
Q07,2226544,648160
Q08,5932856,1429115
Q09,2149896,637929
Q1,1938879,675304
Q10,11970057,3669962
Q100,2084952,597554
Q101,2015772,547626
Q102,1472300,456969
Q103,752144,232833
Q104,1346563,294177
Q107,1518,455
Q108,32,27
Q11,2118231,725211
Q110,2846623,893349
Q111,6510642,1875382
Q112,2529853,692196
Q113,1900072,550366
Q114,3336027,849890
Q12,5673402,1545851
Q13,4821342,1317710
Q15,1618459,551596
Q15A,1772725,578233
Q16,2400322,718741
Q17,9410509,2658447
Q18,5485750,1480063
Q19,2346566,513488
Q2,2708176,894470
Q20A,5214845,1452366
Q20B,3266629,965069
Q21,1536457,508950
Q22,2860424,452409
Q23,10362426,3105470
Q24,3857074,907721
Q25,12771337,3352409
Q26,504015,191942
Q27,13671539,3634518
Q28,5601799,1554484
Q29,3477767,954301
Q3,4593091,1194957
Q30,5043183,1370835
Q31,3158213,856241
Q32,5970943,1507497
Q33,4095033,1347737
Q34,3292518,859887
Q35,2035057,684202
Q36,3349231,1080241
Q37,4304325,1538187
Q38,4805230,1567419
Q39,2996285,657794
Q4,3527275,1108956
Q40,2217094,747752
Q41,3656952,1033131
Q42,412932,136760
Q43,7262529,2096493
Q44+,11604431,3383673
Q46,11344256,4103233
Q47,5106077,1687138
Q48,1678689,368487
Q49,5015539,1653135
Q5,6333906,1988392
Q50,2354913,738288
Q52+,2426623,647291
Q53+,8377232,2381079
Q54,6666875,1693610
Q55,4297997,1120853
Q56,4035257,1019861
Q58,18474377,4199590
Q59,4405789,1271354
Q60,9652814,2174727
Q64,4881885,1765155
Q65,13416780,3858094
Q66,9768659,1868776
Q67,1356380,402225
Q69,6030311,1651395
Q70+,761610,235562
Q72,4034747,830451
Q76,2968042,838613
Q77,2903500,773542
Q83,4431269,1425135
Q84,2084079,615266
Q85,5546533,1535400
Q88,7069105,1785803
Q90,908,428
Q92,5,5
Q94,92,83
Q95,412,302
Q96,9,9
Q98V,1270,234
QM1,106775,15792
QM10,51641,8277
QM11,186115,19295
QM12,57221,6996
QM15,1129266,117986
QM16,136317,17277
QM17,169588,26053
QM18,38535,5746
QM2,591110,117765
QM20,410211,68655
QM21,74716,16007
QM24,245832,17437
QM25,140659,11166
QM3,31033,6200
QM31,55783,8484
QM32,112490,12922
QM34,207232,17485
QM35,140522,13971
QM36,43701,5216
QM4,167674,30656
QM40,32538,5503
QM42,42175,4560
QM44,25171,3250
QM5,820978,131573
QM6,434769,75625
QM7,257034,41172
QM8,197555,16443
S40,1627109,451351
S42,195851,128697
S44,2605261,600638
S46,1750461,389755
S48,2307522,547544
S51,1365706,360978
S52,1148808,342576
S53,4558305,1402283
S54,266174,71973
S55,59670,25182
S56,132365,48675
S57,481735,95979
S59,1538434,334096
S61,1593491,392717
S62,1479145,452626
S66,452078,174707
S74,2177101,554343
S76,1436707,402769
S78,2646461,601841
S79+,7374567,2181856
S81,71606,46279
S84,74554,47557
S86,61069,39854
S89,177079,34924
S90,253351,137638
S91,236271,104486
S92,184039,88428
S93,1854968,639295
S94,239474,122900
S96,231382,111087
S98,335536,180287
SIM1,1278468,300324
SIM10,1267590,97735
SIM11,461610,39998
SIM15,502975,128260
SIM1C,3243017,530202
SIM2,575645,112621
SIM22,376293,62714
SIM23,108692,14072
SIM24,85262,13890
SIM25,308831,63216
SIM26,344768,94385
SIM3,435483,41584
SIM30,426144,75878
SIM31,232902,30495
SIM32,209182,78137
SIM33,192110,29931
SIM33C,1146655,282713
SIM34,620290,147415
SIM35,263291,73102
SIM3C,862574,196422
SIM4,550448,129279
SIM4C,1222460,243415
SIM4X,72057,24644
SIM5,350829,62308
SIM6,809028,61697
SIM7,320460,34146
SIM8,720738,128881
SIM8X,67627,14029
SIM9,136542,22359
X27,1053008,117819
X28,1202255,124034
X37,499777,33468
X38,501809,35425
X63,311462,44954
X64,125104,17802
X68,218064,22737
